Country,Subgroup,Year,Value
Afghanistan,Female 15+ yr,2006,33.8
Afghanistan,Female 15+ yr,2005,34.1
Afghanistan,Female 15+ yr,2004,31.5
Afghanistan,Female 15+ yr,2003,33.1
Afghanistan,Female 15+ yr,2002,34.8
Afghanistan,Female 15+ yr,2001,30
Afghanistan,Female 15+ yr,2000,30.2
Afghanistan,Female 15+ yr,1999,30.2
Afghanistan,Female 15+ yr,1998,30.1
Afghanistan,Female 15+ yr,1997,30
Afghanistan,Female 15+ yr,1996,30.1
Afghanistan,Female 15+ yr,1995,30
Afghanistan,Female 15+ yr,1994,30
Afghanistan,Female 15+ yr,1993,29.8
Afghanistan,Female 15+ yr,1992,30
Afghanistan,Female 15+ yr,1991,29.9
Afghanistan,Female 15-24 yr,2006,27.4
Afghanistan,Female 15-24 yr,2005,29.5
Afghanistan,Female 15-24 yr,2004,25
Afghanistan,Female 15-24 yr,2003,28.1
Afghanistan,Female 15-24 yr,2002,31.9
Afghanistan,Female 15-24 yr,2001,22.7
Afghanistan,Female 15-24 yr,2000,23.5
Afghanistan,Female 15-24 yr,1999,23.4
Afghanistan,Female 15-24 yr,1998,23.2
Afghanistan,Female 15-24 yr,1997,23.1
Afghanistan,Female 15-24 yr,1996,23.4
Afghanistan,Female 15-24 yr,1995,23.3
Afghanistan,Female 15-24 yr,1994,23.1
Afghanistan,Female 15-24 yr,1993,22.5
Afghanistan,Female 15-24 yr,1992,22.9
Afghanistan,Female 15-24 yr,1991,22.6
Afghanistan,Male 15+ yr,2006,81.1
Afghanistan,Male 15+ yr,2005,81.7
Afghanistan,Male 15+ yr,2004,79.9
Afghanistan,Male 15+ yr,2003,80.5
Afghanistan,Male 15+ yr,2002,81.3
Afghanistan,Male 15+ yr,2001,79.6
Afghanistan,Male 15+ yr,2000,79.9
Afghanistan,Male 15+ yr,1999,79.9
Afghanistan,Male 15+ yr,1998,79.9
Afghanistan,Male 15+ yr,1997,79.9
Afghanistan,Male 15+ yr,1996,79.9
Afghanistan,Male 15+ yr,1995,79.9
Afghanistan,Male 15+ yr,1994,79.8
Afghanistan,Male 15+ yr,1993,79.7
Afghanistan,Male 15+ yr,1992,79.7
Afghanistan,Male 15+ yr,1991,79.6
Afghanistan,Male 15-24 yr,2006,62
Afghanistan,Male 15-24 yr,2005,63.6
Afghanistan,Male 15-24 yr,2004,59.5
Afghanistan,Male 15-24 yr,2003,61.5
Afghanistan,Male 15-24 yr,2002,64.7
Afghanistan,Male 15-24 yr,2001,58.2
Afghanistan,Male 15-24 yr,2000,58.9
Afghanistan,Male 15-24 yr,1999,58.9
Afghanistan,Male 15-24 yr,1998,58.7
Afghanistan,Male 15-24 yr,1997,58.7
Afghanistan,Male 15-24 yr,1996,58.9
Afghanistan,Male 15-24 yr,1995,58.8
Afghanistan,Male 15-24 yr,1994,58.7
Afghanistan,Male 15-24 yr,1993,58.1
Afghanistan,Male 15-24 yr,1992,58.3
Afghanistan,Male 15-24 yr,1991,58
Albania,Female 15+ yr,2006,41.6
Albania,Female 15+ yr,2005,41.8
Albania,Female 15+ yr,2004,42.1
Albania,Female 15+ yr,2003,42.1
Albania,Female 15+ yr,2002,41.5
Albania,Female 15+ yr,2001,41.9
Albania,Female 15+ yr,2000,42.4
Albania,Female 15+ yr,1999,42.9
Albania,Female 15+ yr,1998,43.4
Albania,Female 15+ yr,1997,44.7
Albania,Female 15+ yr,1996,44.8
Albania,Female 15+ yr,1995,45.4
Albania,Female 15+ yr,1994,45.9
Albania,Female 15+ yr,1993,46.4
Albania,Female 15+ yr,1992,48.2
Albania,Female 15+ yr,1991,50.1
Albania,Female 15-24 yr,2006,32.6
Albania,Female 15-24 yr,2005,32.7
Albania,Female 15-24 yr,2004,32.8
Albania,Female 15-24 yr,2003,32.3
Albania,Female 15-24 yr,2002,31.4
Albania,Female 15-24 yr,2001,31.5
Albania,Female 15-24 yr,2000,31.6
Albania,Female 15-24 yr,1999,31.7
Albania,Female 15-24 yr,1998,31.8
Albania,Female 15-24 yr,1997,32.6
Albania,Female 15-24 yr,1996,32.2
Albania,Female 15-24 yr,1995,32.2
Albania,Female 15-24 yr,1994,32.3
Albania,Female 15-24 yr,1993,32.5
Albania,Female 15-24 yr,1992,34.8
Albania,Female 15-24 yr,1991,37.2
Albania,Male 15+ yr,2006,60
Albania,Male 15+ yr,2005,60.7
Albania,Male 15+ yr,2004,60.9
Albania,Male 15+ yr,2003,61.2
Albania,Male 15+ yr,2002,60.6
Albania,Male 15+ yr,2001,61.1
Albania,Male 15+ yr,2000,62
Albania,Male 15+ yr,1999,62.9
Albania,Male 15+ yr,1998,64.2
Albania,Male 15+ yr,1997,66.5
Albania,Male 15+ yr,1996,66.1
Albania,Male 15+ yr,1995,67
Albania,Male 15+ yr,1994,67.4
Albania,Male 15+ yr,1993,67.6
Albania,Male 15+ yr,1992,70.1
Albania,Male 15+ yr,1991,72.6
